id,cardNumber,title,link,notes,status
az6wh93bq,18,"The Five Dysfunctions of a Team by Patrick Lencioni",https://www.youtube.com/watch?v=75bO_XWk7fw,,"Em processo"
nmkzoo9d7,17,"Patrick Lencioni : The Four Traits of Healthy Teams",https://www.youtube.com/watch?v=1KxJop0A0vA,,"Não feito"
y51yrssvh,16,"The Five Temptations of A CEO: A Leadership… by Patrick M. Lencioni · Audiobook preview",https://www.youtube.com/watch?v=IERr2XN8uJE,,"Não feito"
jk4ilgexj,15,"An Introduction to The Five Behaviors Powered by Everything DiSC®",https://www.youtube.com/watch?v=Rs7bPNslSuc,,"Não feito"
d6sgb60hl,14,"5 Minutes Book Summary - The Five Temptations of a CEO by Patrick Lencioni",https://www.youtube.com/watch?v=4j7Lw0BeJ6g,,"Não feito"
2hh0yuy3h,13,"I Practice Thinking in English🔥Speaking Practice listening English🔥English Graded Reader🔥Graded ✅️ 1",https://www.youtube.com/watch?v=eyvuv6XEa-4,,"Não feito"
7lo0rjesn,12,"O veganismo é DEMAIS para ele",https://www.youtube.com/watch?v=5Pm7cM-Ow0M,,"Não feito"
sxwfkekt7,11,"Learn English with President Barack Obama's speech - A high school education is not enough",https://www.youtube.com/watch?v=vrSeY0IF4_s,,Concluído
amqzpm6zq,10,"President Obama's speeches - PLAY-LIST com 29 vídeos.",https://www.youtube.com/playlist?list=PLNEjHOBPN2dKlscfCKFr9MjJ-aSh2UZmR,,Concluído
g2xresv9n,9,"AI Revolution & Future Jobs | Yuval Noah Harari | and Steven Bartell ‘The Diary of a CEO’ ",https://www.youtube.com/shorts/KNqr4tGXpFA?feature=share,,"Não feito"
2vt1tqjcj,8,"Do humans crave power? | Yuval Noah Harari on the Jordan Harbinger Show",https://www.youtube.com/shorts/Axy1mq3dZvA?feature=share,,"Não feito"
npsbd7hjs,7,"Learn English through Speeches - Listen and Repeat - President Obama - Happy Holidays",https://www.youtube.com/watch?v=A6qlvptTWoE,,Concluído
rezxmr0kb,6,"LISTEN AND REPEAT | Learn English through speeches | President Obama on Education",https://www.youtube.com/watch?v=xuJZ2BiqDV4,,Concluído
bb960o7j6,5,"THE NO 1 RISK TO YOUR FUTURE - OPÇÃO 2 DE ""Key to a successful life..."".",https://www.youtube.com/watch?v=revZsesG4_4,,"Não feito"
3lv5pzclk,4,"Key to a successful life...",https://www.youtube.com/shorts/kp8XKnu3pHQ,,"Não feito"
twieiqetb,3,"Advanced (C2) Phrases to FLEX Your VOCABULARY MUSCLES 💪",https://www.youtube.com/watch?v=8iLhWTPReJY,,"Não feito"
q9px72frz,2,"1-HOUR VOCABULARY LESSON | 100 Phrases for Casual Conversation",https://www.youtube.com/watch?v=84miCo1NYGk,,"Em processo"
nxvaktwyj,1,"English sarcasm - What They Really Mean",https://www.youtube.com/watch?v=eVxFJUqyEkk,,"Não feito"
