id,title,link,notes,status
0ggrf1y11,"The Five Temptations of A CEO: A Leadership… by Patrick M. Lencioni · Audiobook preview",https://www.youtube.com/watch?v=IERr2XN8uJE,,"Em processo"
2d4gc3mjz,"teste  lalala",,,"Não feito"
32xl4gzqq,"teste la la la 3 ",,,Concluído
519j9kwko,"President Obama's speeches - PLAY-LIST 29 VÍDEOS",https://www.youtube.com/playlist?list=PLNEjHOBPN2dKlscfCKFr9MjJ-aSh2UZmR,,"Em processo"
5umz4f1kn,"I Practice Thinking in English🔥Speaking Practice listening English🔥English Graded Reader🔥Graded ✅️ 1",https://www.youtube.com/watch?v=eyvuv6XEa-4,"VIDEO DE 2 HORAS","Em processo"
62yfz5upn,"Do humans crave power? | Yuval Noah Harari on the Jordan Harbinger Show",https://www.youtube.com/shorts/Axy1mq3dZvA,,"Em processo"
6x38tplvw,"Learn English with President Barack Obama's speech - A high school education is not enough",https://www.youtube.com/watch?v=vrSeY0IF4_s,,"Em processo"
6zzo42pib,"The Five Temptations of A CEO: A Leadership… by Patrick M. Lencioni · Audiobook preview",https://www.youtube.com/watch?v=IERr2XN8uJE,,"Em processo"
89mxp227w,"O veganismo é DEMAIS para ele",https://www.youtube.com/watch?v=5Pm7cM-Ow0M,,"Em processo"
ee6iqc0li,"5 Minutes Book Summary - The Five Temptations of a CEO by Patrick Lencioni",https://www.youtube.com/watch?v=4j7Lw0BeJ6g,,"Em processo"
gsn483k74,"English sarcasm - What They Really Mean",https://www.youtube.com/watch?v=eVxFJUqyEkk,DRGDGD,"Em processo"
hiatry4fv,"Learn English through Speeches - Listen and Repeat - President Obama - Happy Holidays",https://www.youtube.com/watch?v=A6qlvptTWoE,,"Em processo"
hjdc2mhmr,"Advanced (C2) Phrases to FLEX Your VOCABULARY MUSCLES 💪",https://www.youtube.com/watch?v=8iLhWTPReJY,,"Em processo"
ju52qqng1,"THE NO 1 RISK TO YOUR FUTURE - opção 2",https://www.youtube.com/watch?v=revZsesG4_4,,"Em processo"
jw0xdxx50,"An Introduction to The Five Behaviors Powered by Everything DiSC®",https://www.youtube.com/watch?v=Rs7bPNslSuc,,"Em processo"
k5n29bb58,"AI Revolution & Future Jobs | Yuval Noah Harari | and Steven Bartell ‘The Diary of a CEO’ ",https://www.youtube.com/shorts/KNqr4tGXpFA,,"Em processo"
l99lz9byg," teste ",https://www.youtube.com/watch?v=-v3DAUrZJIY,dxfxg,"Não feito"
mpqcc98w8,"THE NO 1 RISK TO YOUR FUTURE - opção 01",https://www.youtube.com/shorts/kp8XKnu3pHQ,,"Não feito"
pzt9lh27g,teste2,https://www.youtube.com/watch?v=-v3DAUrZJIY,rtsrgf,"Não feito"
qfhsas09m,"The Five Dysfunctions of a Team by Patrick Lencioni",https://www.youtube.com/watch?v=75bO_XWk7fw,DTGDXGD,"Em processo"
ss1ds5cwf,"LISTEN AND REPEAT | Learn English through speeches | President Obama on Education",https://www.youtube.com/watch?v=xuJZ2BiqDV4,,"Em processo"
wfngyeoq6,"Patrick Lencioni : The Four Traits of Healthy Teams",https://www.youtube.com/watch?v=1KxJop0A0vA,,"Em processo"
xa6uuoyo5,"1-HOUR VOCABULARY LESSON | 100 Phrases for Casual Conversation",https://www.youtube.com/watch?v=84miCo1NYGk,,"Em processo"
xyd96zcti,"teste la la la 2",,,"Não feito"
